id	dsl	name	syntax	detect
MAP-04	mapping	include mapping (bare)	include my::base	^\s*include\s+[\w:]+\s*$
MAP-05	mapping	include mapping (typed)	include mapping my::base	^\s*include\s+mapping\s+[\w:]+
MAP-06	mapping	include with store substitution	include mapping m[dbA->dbB]	include\s+(?:mapping\s+)?[\w:]+\s*\[[\w:]+\s*->
MAP-08	mapping	root set-implementation marker	*test::C[id]: Relational	^\s*\*[\w:]+
MAP-09	mapping	explicit set id	test::C[id1]: Relational	^\s*\*?[\w:]+\[\w+\]\s*(?:extends|\:)
MAP-10	mapping	class-mapping extends [id]	C[id1] extends [id2]: Relational	extends\s*\[\w+\]
SET-01	mapping	Relational class mapping	: Relational {	:\s*Relational\s*\{
SET-02	mapping	Relational association mapping	AssociationMapping ( ... )	AssociationMapping
SET-03	mapping	Pure / M2M class mapping	: Pure { ~src S }	:\s*Pure\s*\{
SET-04	mapping	Operation class mapping	: Operation { fn(p1,p2) }	:\s*Operation\s*\{
SET-05	mapping	Merge operation	merge_...([p1,p2],{...})	merge_[\w:]*\(
SET-06	mapping	XStore association mapping	: XStore { p: $this.x==$that.y }	:\s*XStore\s*\{
SET-07	mapping	ModelJoin association mapping	: ModelJoin { {e,p|...} }	:\s*ModelJoin\s*\{
SET-08	mapping	AggregationAware class mapping	: AggregationAware { Views: [...] }	:\s*AggregationAware\s*\{
SET-10	mapping	Relation (function-based) mapping	: Relation { ~func f():Any[1] }	:\s*Relation\s*\{
SET-11	mapping	EnumerationMapping element	E: EnumerationMapping M { A: 1 }	EnumerationMapping\s+\w+\s*$|EnumerationMapping\s*\{
DIR-01	mapping	~filter (plain)	~filter [db]f1	~filter\s*\[[\w:]+\]\s*\w+\s*$
DIR-02	mapping	~filter via join	~filter [db]@J | [db]F	~filter\s*(?:\[[\w:]+\]\s*)?(?:\(\w+\)\s*)?@
DIR-03	mapping	~distinct	~distinct	^\s*~distinct
DIR-04	mapping	~groupBy	~groupBy ( [db]t.c )	^\s*~groupBy
DIR-05	mapping	~primaryKey	~primaryKey ( [db]t.id )	~primaryKey
DIR-06	mapping	~mainTable	~mainTable [db]T	~mainTable
DIR-07	mapping	~mainTable with schema	~mainTable [db]sch.T	~mainTable\s*\[[\w:]+\]\s*\w+\.\w+
DIR-09	mapping	quoted relational identifier	~mainTable [db]"My Table"	~mainTable\s*\[[\w:]+\]\s*"
PM-01	mapping	direct column	c: [db]t.COL	:\s*\[[\w:]+\]\s*\w+\.\w+
PM-02	mapping	bare column (in scope)	name: COL	
PM-03	mapping	schema-qualified column	c: [db]sch.t.col	:\s*\[[\w:]+\]\s*\w+\.\w+\.\w+
PM-04	mapping	{target} column ref	c: {target}.ID	\{target\}
PM-05	mapping	join reference	emps: [db]@J	:\s*(?:\[[\w:]+\]\s*)?@\w+\s*$
PM-06	mapping	join chain	p: [db]@A > @B	@\w+\s*>\s*(?:\[[\w:]+\]\s*)?@\w+
PM-07	mapping	join chain ending in column	p: @A > @B | [db]t.c	@\w+[^|\n]*\|\s*(?:\[[\w:]+\]\s*)?\w+\.\w+
PM-08	mapping	join chain ending in expression	p: @A > @B | equal(a,b)	@\w+[^|\n]*\|\s*\w+\(
PM-09	mapping	typed join in chain	> (OUTER) [db]@J	>\s*\(\s*(?:INNER|OUTER)\s*\)
PM-10	mapping	typed leading join	~filter [db] (INNER) @J	\[\s*[\w:]+\s*\]\s*\(\s*(?:INNER|OUTER)\s*\)\s*@
PM-11	mapping	dynafunction call	c: concat(a, b)	:\s*\w+\s*\(\s*\[
PM-12	mapping	dynafunction array argument	c: coalesce([a, b])	:\s*\w+\s*\(\s*\[\s*\[
PM-13	mapping	db-scoped dynafunction	c: [db2]case(...)	:\s*\[[\w:]+\]\s*\w+\s*\(
PM-14	mapping	literal string value	c: 'STATE'	:\s*'[^']*'\s*[,\n]
PM-15	mapping	literal integer value	c: 1	:\s*-?\d+\s*[,\n]
PM-16	mapping	literal float value	c: 0.0	:\s*-?\d+\.\d+\s*[,\n]
PM-17	mapping	comparison operator in mapping	c: a = b	
PM-18	mapping	null test in mapping	c: [db]t.col is null	:\s*\[[\w:]+\][\w.]+\s+is\s+(?:not\s+)?null
PM-19	mapping	boolean and/or in mapping	c: a = 1 and b = 2	
PM-21	mapping	property with target set id	emps[model_Person]: [db]@J	\w+\[\s*\w+\s*\]\s*:\s*(?:\[[\w:]+\]\s*)?@
PM-22	mapping	property with source+target ids	p[src,tgt]: [db]@J	\w+\[\s*\w+\s*,\s*\w+\s*\]\s*:
PM-23	mapping	local (+) property mapping	+p: T[*]: [db]t.c	^\s*\+\w+\s*:
PM-25	mapping	enumeration transformer	p: EnumerationMapping m: [db]t.c	EnumerationMapping\s+\w+\s*:
PM-26	mapping	binding transformer	p: Binding b : [db]t.json	:\s*Binding\s+[\w:]+\s*:
PM-27	mapping	embedded property mapping	client ( id: [db]t.C )	
PM-28	mapping	nested embedded (depth 2+)	a ( b ( c: 1 ) )	
PM-29	mapping	embedded with own ~primaryKey	addr ( ~primaryKey (...) ... )	
PM-31	mapping	inline embedded	address () Inline [set]	\(\s*\)\s*Inline\s*\[
PM-32	mapping	otherwise embedded	firm ( ... ) Otherwise ([id]: @J)	\)\s*Otherwise\s*\(
PM-33	mapping	otherwise target with join chain	) Otherwise ([id]: @A > @B)	Otherwise\s*\(\s*\[\w+\]\s*:[^)]*@\w+\s*>
PM-34	mapping	scope block (table scope)	scope([db]T) ( c: COL )	scope\s*\(\s*\[[\w:]+\]\s*\w+
PM-35	mapping	scope block (db only)	scope([db]) ( c: [db]t.c )	scope\s*\(\s*\[[\w:]+\]\s*\)
PUR-01	mapping	Pure ~src source class	~src test::Src	~src\s
PUR-02	mapping	Pure ~filter lambda	~filter $src.x->startsWith('J')	~filter\s*\$
