function	evidence
abs	probe
acos	probe
adjust	DISAGREES-WITH-ORACLE
and	probe
ascii	probe
asin	probe
atan	probe
atan2	probe
between	REFUSED-BY-ENGINE (not supported yet)
bitAnd	probe
bitNot	probe
bitOr	probe
bitShiftLeft	probe
bitShiftRight	probe
bitXor	probe
cbrt	probe
ceiling	probe
char	probe
coalesce	probe
concat	probe
contains	probe
cos	probe
cosh	probe
cot	probe
dateDiff	probe
datePart	probe
dayOfMonth	probe
dayOfWeek	probe
dayOfWeekNumber	probe
dayOfYear	DISAGREES-WITH-ORACLE
decodeBase64	probe
divide	probe
encodeBase64	probe
endsWith	probe
eq	REFUSED-BY-ENGINE (fails with no message naming it)
equal	probe
exp	probe
firstDayOfMonth	probe
firstDayOfQuarter	probe
firstDayOfWeek	DISAGREES-WITH-ORACLE
firstDayOfYear	probe
firstHourOfDay	probe
firstMillisecondOfSecond	probe
firstMinuteOfHour	probe
firstSecondOfMinute	probe
floor	probe
formatDate	probe
greaterThan	probe
greaterThanEqual	probe
greatest	probe
hour	probe
indexOf	probe
isAlphaNumeric	probe
isNotNull	probe
isNull	probe
least	probe
left	probe
length	probe
lessThan	probe
lessThanEqual	probe
levenshteinDistance	probe
log	probe
log10	probe
lpad	probe
ltrim	probe
minus	probe
minute	probe
mod	probe
month	probe
monthNumber	probe
mostRecentDayOfWeek	REFUSED-BY-ENGINE (not supported yet)
not	probe
or	probe
parseBoolean	REFUSED-BY-ENGINE (fails with no message naming it)
parseDecimal	probe
parseFloat	probe
parseInteger	probe
plus	probe
pow	probe
previousDayOfWeek	REFUSED-BY-ENGINE (not supported yet)
quarterNumber	probe
rem	probe
repeatString	probe
replace	probe
reverseString	probe
right	probe
round	probe
rpad	probe
rtrim	probe
second	probe
sign	probe
sin	probe
sinh	probe
splitPart	probe
sqrt	probe
startsWith	probe
substring	DISAGREES-WITH-ORACLE
tan	probe
tanh	probe
times	probe
toDecimal	probe
toFloat	probe
toLower	probe
toString	probe
toUpper	probe
trim	probe
weekOfYear	probe
year	probe
