fqn	source	demand	corpusDefined	constraints	derived	stereotypes	taggedValues	defaults	escapes	file
meta::core::runtime::Connection	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-store/legend-pure-m2-dsl-store-pure/src/main/resources/platform_dsl_store/grammar/runtime.pure
meta::core::runtime::ConnectionStore	legend-pure	java	false	0	0	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-store/legend-pure-m2-dsl-store-pure/src/main/resources/platform_dsl_store/grammar/runtime.pure
meta::core::runtime::EngineRuntime	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/runtime/runtimeExtension.pure
meta::core::runtime::Runtime	legend-pure	java	false	0	1	0	0	0		legend-pure/legend-pure-dsl/legend-pure-dsl-store/legend-pure-m2-dsl-store-pure/src/main/resources/platform_dsl_store/grammar/runtime.pure
meta::external::format::shared::ExternalFormatContract	legend-engine	closure	true	1	1	0	0	1		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/binding/externalFormat/externalFormatContract.pure
meta::external::format::shared::ExternalFormatExternalizeConfig	legend-engine	closure	true	0	0	1	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/binding/externalFormat/externalFormatContract.pure
meta::external::format::shared::ExternalFormatFromPureDescriptor	legend-engine	closure	true	1	2	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/binding/externalFormat/externalFormatContract.pure
meta::external::format::shared::ExternalFormatInternalizeConfig	legend-engine	closure	true	0	0	1	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/binding/externalFormat/externalFormatContract.pure
meta::external::format::shared::ExternalFormatToPureDescriptor	legend-engine	closure	true	1	2	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/binding/externalFormat/externalFormatContract.pure
meta::external::format::shared::binding::Binding	legend-engine	closure	true	0	0	0	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/binding/binding/binding.pure
meta::external::format::shared::binding::validation::BindingDetail	legend-engine	closure	true	0	0	1	0	0		legend-engine/legend-engine-core/legend-engine-core-pure/legend-engine-pure-code-compiled-core/src/main/resources/core/pure/binding/binding/validation.pure
