# BATCH 8 - closing gaps: lambda absence, in-aggregate ORDER BY, tie-breaks, type divergence
LAM.pg1	lam	SELECT array_agg(x -> x+1) FROM unnest(ARRAY[1]) x
LAM.pg2	lam	SELECT list_filter(ARRAY[1,2], x -> x > 1)
LAM.sq1	lam	SELECT list_filter('[1,2]', x -> x > 1)
LAM.dd	lam	SELECT array_to_string(list_filter([1,2], x -> x > 1),',')
# in-aggregate ORDER BY: postgres has it, does sqlite?
IAO.pg	lam	SELECT string_agg(name,',' ORDER BY id DESC) FROM emp
IAO.sq1	lam	SELECT group_concat(name,',' ORDER BY id DESC) FROM emp
IAO.sq2	lam	SELECT group_concat(name,',') FROM (SELECT name FROM emp ORDER BY id DESC)
IAO.dd	lam	SELECT string_agg(name,',' ORDER BY id DESC) FROM emp
# LIST_MODE tie-break
MODT.dd	tie	SELECT list_mode([1,1,2,2])
MODT.pg	tie	SELECT (SELECT mode() WITHIN GROUP (ORDER BY x) FROM unnest(ARRAY[1,1,2,2]) x)
MODT.sq	tie	SELECT (SELECT value FROM json_each('[1,1,2,2]') GROUP BY value ORDER BY count(*) DESC, value LIMIT 1)
# LIST_MEDIAN even-count: interpolate or lower?
MEDE.dd	tie	SELECT list_median([1,2])
MEDE.pg1	tie	SELECT (SELECT percentile_cont(0.5) WITHIN GROUP (ORDER BY x) FROM unnest(ARRAY[1,2]) x)
MEDE.pg2	tie	SELECT (SELECT percentile_disc(0.5) WITHIN GROUP (ORDER BY x) FROM unnest(ARRAY[1,2]) x)
MEDE.sq	tie	SELECT (SELECT median(value) FROM json_each('[1,2]'))
# LIST_AVG integer division trap
AVGI.dd	tie	SELECT list_avg([1,2])
AVGI.pg	tie	SELECT (SELECT avg(x) FROM unnest(ARRAY[1,2]) x)
AVGI.sq	tie	SELECT (SELECT avg(value) FROM json_each('[1,2]'))
# SQLite json_each.key TYPE: Integer for arrays, String for objects
KEYT.sq1	type	SELECT j.key FROM json_each('[9]') j
KEYT.sq2	type	SELECT j.key FROM json_each('{"a":9}') j
KEYT.dd1	type	SELECT j.key FROM json_each('[9]') j
KEYT.dd2	type	SELECT j.key FROM json_each('{"a":9}') j
# SQLite json_each.value TYPE for nested vs scalar
VALT.sq1	type	SELECT j.value FROM json_each('[9]') j
VALT.sq2	type	SELECT j.value FROM json_each('[[9]]') j
VALT.sq3	type	SELECT j.value FROM json_each('["x"]') j
VALT.pg1	type	SELECT e FROM jsonb_array_elements('[9]'::jsonb) e
VALT.pg2	type	SELECT e FROM jsonb_array_elements_text('["x"]'::jsonb) e
VALT.dd1	type	SELECT j.value FROM json_each('[9]') j
# MAP_EMPTY
ME.dd	map	SELECT MAP {}::VARCHAR
ME.pg	map	SELECT '{}'::jsonb::text
ME.sq	map	SELECT json_object()
# TO_VARIANT of a row
TVR.dd	var	SELECT to_json({'a':1,'b':'x'})::VARCHAR
TVR.pg	var	SELECT to_jsonb(t)::text FROM (SELECT 1 AS a, 'x'::text AS b) t
TVR.sq	var	SELECT json_object('a',1,'b','x')
# transform int-list -> string-list through the carrier
TXT.dd	xf	SELECT array_to_string(list_transform([1,2],x -> 'v' || x),',')
TXT.pg	xf	SELECT array_to_string(ARRAY(SELECT 'v'||t.v FROM unnest(ARRAY[1,2]) WITH ORDINALITY t(v,o) ORDER BY t.o),',')
TXT.sq	xf	SELECT (SELECT group_concat(v) FROM (SELECT 'v'||j.value AS v FROM json_each('[1,2]') j ORDER BY j.key))
# UNNEST in the SELECT LIST (not FROM) - duckdb's native placement
SLU.dd	place	SELECT count(*) FROM (SELECT unnest([1,2,3]) AS v)
SLU.pg1	place	SELECT count(*) FROM (SELECT unnest(ARRAY[1,2,3]) AS v) t
SLU.pg2	place	SELECT count(*) FROM (SELECT e.id, unnest(ARRAY[e.id,e.id]) AS v FROM emp e) t
SLU.pg3	place	SELECT count(*) FROM (SELECT unnest(ARRAY[1,2]) AS a, unnest(ARRAY['x','y','z']) AS b) t
SLU.sq1	place	SELECT count(*) FROM (SELECT json_each.value AS v FROM json_each('[1,2,3]')) t
# SQLite: table-valued function in a scalar subquery correlated to a REAL table column
SSQ.sq	place	SELECT sum(c) FROM (SELECT (SELECT count(*) FROM json_each(json_array(e.id,e.dept_id)) j WHERE j.value IS NOT NULL) AS c FROM emp e) t
SSQ.pg	place	SELECT sum(c) FROM (SELECT (SELECT count(*) FROM unnest(ARRAY[e.id,e.dept_id]) v WHERE v IS NOT NULL) AS c FROM emp e) t
SSQ.dd	place	SELECT sum(c) FROM (SELECT (SELECT count(*) FROM unnest([e.id,e.dept_id]) t2(v) WHERE t2.v IS NOT NULL) AS c FROM emp e) t
