# THE LINCHPIN PROBE: does correlated row explosion exist?
# H2's fatal wall (H2_BACKEND.md §4, D1) was that no H2 version has LATERAL and no
# correlated FROM form works. If a backend HAS correlated explosion, the whole LIST_*
# family is reachable by rewrite and the H2 conclusion does NOT transfer.
# Cross-dialect on purpose — each backend is expected to fail the other's forms.

# --- ANSI / Postgres / DuckDB shapes ---
lat.pg.unnest_comma	lateral	SELECT e.id, u.v FROM (SELECT 1 AS id, ARRAY[10,20,30] AS arr) e, unnest(e.arr) AS u(v) ORDER BY u.v LIMIT 1
lat.pg.lateral_kw	lateral	SELECT e.id, u.v FROM (SELECT 1 AS id, ARRAY[10,20,30] AS arr) e, LATERAL unnest(e.arr) AS u(v) ORDER BY u.v LIMIT 1
lat.pg.cross_lateral	lateral	SELECT e.id, u.v FROM (SELECT 1 AS id, ARRAY[10,20,30] AS arr) e CROSS JOIN LATERAL unnest(e.arr) AS u(v) ORDER BY u.v LIMIT 1
lat.pg.left_lateral	lateral	SELECT e.id, u.v FROM (SELECT 1 AS id, ARRAY[10,20,30] AS arr) e LEFT JOIN LATERAL unnest(e.arr) AS u(v) ON TRUE ORDER BY u.v LIMIT 1
lat.pg.selectlist	lateral	SELECT unnest(ARRAY[10,20,30]) AS v ORDER BY v LIMIT 1
lat.pg.scalar_sub	lateral	SELECT (SELECT sum(u.v) FROM unnest(e.arr) AS u(v)) FROM (SELECT ARRAY[10,20,30] AS arr) e
lat.pg.correlated_agg	lateral	SELECT e.id, (SELECT count(*) FROM unnest(e.arr) x) FROM (SELECT 1 AS id, ARRAY[10,20,30] AS arr) e

# --- SQLite JSON1 shapes ---
lat.lite.json_each	lateral	SELECT e.id, j.value FROM (SELECT 1 AS id, '[10,20,30]' AS arr) e, json_each(e.arr) j ORDER BY j.value LIMIT 1
lat.lite.json_each_join	lateral	SELECT e.id, j.value FROM (SELECT 1 AS id, '[10,20,30]' AS arr) e JOIN json_each(e.arr) j ORDER BY j.value LIMIT 1
lat.lite.json_each_lit	lateral	SELECT value FROM json_each('[10,20,30]') ORDER BY value LIMIT 1
lat.lite.json_each_scalar	lateral	SELECT (SELECT sum(value) FROM json_each(e.arr)) FROM (SELECT '[10,20,30]' AS arr) e
lat.lite.json_tree	lateral	SELECT count(*) FROM json_tree('[10,20,30]')
lat.lite.json_group	lateral	SELECT json_group_array(value) FROM json_each('[10,20,30]')

# --- MySQL / MariaDB shapes ---
lat.my.json_table	lateral	SELECT jt.v FROM (SELECT 1 AS id, '[10,20,30]' AS arr) e, JSON_TABLE(e.arr, '$[*]' COLUMNS (v INT PATH '$')) AS jt ORDER BY jt.v LIMIT 1
lat.my.json_extract	lateral	SELECT JSON_EXTRACT('[10,20,30]', '$[1]')
lat.my.json_length	lateral	SELECT JSON_LENGTH('[10,20,30]')
lat.my.json_arrayagg	lateral	SELECT JSON_ARRAYAGG(id) FROM dept

# --- Portable fallback: recursive CTE index walk (the JSON_TABLE-free explosion) ---
lat.rec.cte	lateral	WITH RECURSIVE n(i) AS (SELECT 0 UNION ALL SELECT i+1 FROM n WHERE i < 2) SELECT count(*) FROM n
lat.rec.correlated	lateral	WITH RECURSIVE n(i) AS (SELECT 0 UNION ALL SELECT i+1 FROM n WHERE i < 2) SELECT sum(i) FROM n

# --- Row-correlated explosion against a REAL table (the shape that actually matters) ---
lat.real.pg	lateral	SELECT d.id, u.v FROM dept d, LATERAL unnest(ARRAY[d.id, d.id*10]) AS u(v) ORDER BY d.id, u.v LIMIT 1
lat.real.lite	lateral	SELECT d.id, j.value FROM dept d, json_each('[' || d.id || ',' || (d.id*10) || ']') j ORDER BY d.id, j.value LIMIT 1
lat.real.my	lateral	SELECT d.id, jt.v FROM dept d, JSON_TABLE(CONCAT('[', d.id, ',', d.id*10, ']'), '$[*]' COLUMNS (v INT PATH '$')) jt ORDER BY d.id, jt.v LIMIT 1
