# BATCH 1 — carrier / correlated explosion / JSON census / graph envelope
env.version	env	SELECT VERSION()
env.sqlmode	env	SELECT @@sql_mode
env.tz	env	SELECT @@time_zone
env.charset	env	SELECT @@character_set_server
env.collation	env	SELECT @@collation_server
env.recursion	env	SELECT @@max_recursive_iterations
env.sqlmodedb	env	SELECT @@session.sql_mode
# ---- setup: a JSON-carrier table
setup.arrtab	setup	CREATE TABLE arrtab (id INTEGER, arr VARCHAR(200))
setup.arrins	setup	INSERT INTO arrtab VALUES (1,'[10,20,30]'), (2,'[40]'), (3,'[]')
setup.jsontab	setup	CREATE TABLE jsontab (id INTEGER, doc JSON)
setup.jsonins	setup	INSERT INTO jsontab VALUES (1,'{"a":1,"b":[1,2,3]}'), (2,'{"a":2,"b":[]}')
# ---- A1: JSON_TABLE — the decisive probe
jt.c1	explode	SELECT v FROM JSON_TABLE('[1,2,3]', '$[*]' COLUMNS (v INT PATH '$')) AS jt
jt.c2	explode	SELECT v FROM JSON_TABLE(CAST('[1,2,3]' AS JSON), '$[*]' COLUMNS (v INT PATH '$')) jt
jt.c3	explode	SELECT jt.v FROM arrtab t, JSON_TABLE(t.arr, '$[*]' COLUMNS (v INT PATH '$')) jt
jt.c4	explode	SELECT json_table('[1]','$[*]' COLUMNS(v INT PATH '$'))
# ---- A2: LATERAL
lat.c1	explode	SELECT x.z FROM emp e, LATERAL (SELECT e.id AS z) x
lat.c2	explode	SELECT x.z FROM emp e CROSS JOIN LATERAL (SELECT e.id AS z) x
lat.c3	explode	SELECT x.z FROM emp e LEFT JOIN LATERAL (SELECT e.id AS z) x ON TRUE
lat.c4	explode	SELECT x.z FROM emp e JOIN LATERAL (SELECT e.id AS z) AS x ON 1=1
lat.c5	explode	SELECT 1 FROM emp e, (SELECT e.id AS z) x
lat.c6	explode	SELECT x.z FROM emp e CROSS JOIN (SELECT e.id AS z) x
# ---- A3: other correlated table-producing forms
cor.scalar	explode	SELECT (SELECT e.id) FROM emp e LIMIT 1
