TYPE.date.lit	types	SELECT DATE '2020-01-15'
TYPE.date.cast	types	SELECT CAST('2020-01-15' AS DATE)
TYPE.date.castfn	types	SELECT date('2020-01-15')
TYPE.date.col	types	SELECT hired FROM emp WHERE id=1
TYPE.date.colnull	types	SELECT hired FROM emp WHERE id=5
TYPE.date.colmax	types	SELECT max(hired) FROM emp
TYPE.date.colcmp	types	SELECT count(*) FROM emp WHERE hired > DATE '2020-01-01'
TYPE.date.colcmp.txt	types	SELECT count(*) FROM emp WHERE hired > '2020-01-01'
TYPE.date.colorder	types	SELECT min(hired) FROM emp
TYPE.ts.lit	types	SELECT TIMESTAMP '2020-01-15 10:20:30'
TYPE.ts.frac3	types	SELECT TIMESTAMP '2020-01-15 10:20:30.123'
TYPE.ts.frac6	types	SELECT TIMESTAMP '2020-01-15 10:20:30.123456'
TYPE.ts.frac7	types	SELECT TIMESTAMP '2020-01-15 10:20:30.1234567'
TYPE.ts.frac9	types	SELECT TIMESTAMP '2020-01-15 10:20:30.123456789'
TYPE.ts.cast	types	SELECT CAST('2020-01-15 10:20:30.123456' AS TIMESTAMP)
TYPE.ts.castT	types	SELECT CAST('2020-01-15T10:20:30.123456' AS TIMESTAMP)
TYPE.ts.fn	types	SELECT datetime('2020-01-15 10:20:30')
TYPE.tstz.lit	types	SELECT TIMESTAMPTZ '2021-01-03 10:20:30+02'
TYPE.tstz.lit2	types	SELECT TIMESTAMP WITH TIME ZONE '2021-01-03 10:20:30+02'
TYPE.tstz.cast	types	SELECT CAST('2021-01-03 10:20:30+02' AS TIMESTAMP WITH TIME ZONE)
TYPE.tstz.utc	types	SELECT TIMESTAMPTZ '2021-01-03 10:20:30+00'
TYPE.time.lit	types	SELECT TIME '10:20:30'
TYPE.time.frac	types	SELECT TIME '10:20:30.123456'
TYPE.time.fn	types	SELECT time('10:20:30')
TYPE.timetz.lit	types	SELECT TIME WITH TIME ZONE '10:20:30+02'
TYPE.ivl.ansi	types	SELECT INTERVAL '1' DAY
TYPE.ivl.pg	types	SELECT INTERVAL '1 day'
TYPE.ivl.compound	types	SELECT INTERVAL '1 year 2 months 3 days'
TYPE.ivl.arith	types	SELECT DATE '2021-01-03' + INTERVAL '1 day'
TYPE.ivl.sub	types	SELECT DATE '2021-03-05' - DATE '2021-01-03'
TYPE.ivl.subts	types	SELECT TIMESTAMP '2021-03-05 00:00:00' - TIMESTAMP '2021-01-03 00:00:00'
TYPE.sqlite.typeof.col	types	SELECT typeof(hired) FROM emp WHERE id=1
TYPE.sqlite.typeof.dt	types	SELECT typeof(date('2020-01-15'))
TYPE.sqlite.typeof.jd	types	SELECT typeof(julianday('2020-01-15'))
TYPE.declared	types	SELECT data_type FROM information_schema.columns WHERE table_name='emp' AND column_name='hired'
RT.ddl	roundtrip	CREATE TABLE tprb (d DATE, ts TIMESTAMP, tz TIMESTAMPTZ, s VARCHAR(64))
RT.ins.typed	roundtrip	INSERT INTO tprb VALUES (DATE '2021-01-03', TIMESTAMP '2021-01-03 10:20:30.123456', TIMESTAMPTZ '2021-01-03 10:20:30+02', '2021-01-03 10:20:30.123456')
RT.ins.text	roundtrip	INSERT INTO tprb VALUES ('2021-01-03', '2021-01-03 10:20:30.123456', '2021-01-03 10:20:30+02', '2021-01-03 10:20:30.123456')
RT.sel.d	roundtrip	SELECT d FROM tprb LIMIT 1
RT.sel.ts	roundtrip	SELECT ts FROM tprb LIMIT 1
RT.sel.tz	roundtrip	SELECT tz FROM tprb LIMIT 1
RT.sel.s	roundtrip	SELECT s FROM tprb LIMIT 1
RT.typeof.d	roundtrip	SELECT typeof(d) FROM tprb LIMIT 1
