J.wk.neg.duck	diff	SELECT date_diff('week', DATE '2021-01-11', DATE '2021-01-04')
J.wk.neg.div7	diff	SELECT (DATE '2021-01-04' - DATE '2021-01-11') / 7
J.wk.neg1.duck	diff	SELECT date_diff('week', DATE '2021-01-11', DATE '2021-01-05')
J.wk.neg1.div7	diff	SELECT (DATE '2021-01-05' - DATE '2021-01-11') / 7
J.m.neg.duck	diff	SELECT date_diff('month', DATE '2020-02-01', DATE '2020-01-31')
J.m.neg.pgb	diff	SELECT (EXTRACT(year FROM DATE '2020-01-31')::int - EXTRACT(year FROM DATE '2020-02-01')::int)*12 + (EXTRACT(month FROM DATE '2020-01-31')::int - EXTRACT(month FROM DATE '2020-02-01')::int)
J.h.neg.duck	diff	SELECT date_diff('hour', TIMESTAMP '2020-01-01 11:01:00', TIMESTAMP '2020-01-01 10:59:00')
J.h.neg.pgb	diff	SELECT FLOOR(EXTRACT(epoch FROM (date_trunc('hour', TIMESTAMP '2020-01-01 10:59:00') - date_trunc('hour', TIMESTAMP '2020-01-01 11:01:00')))/3600)::bigint
J.si.weeks	interval	SELECT datetime('2021-01-03 10:20:30.123456', '+7 days')
J.si.ms	interval	SELECT datetime('2021-01-03 10:20:30.123456', '+1.5 seconds', 'subsec')
J.si.ms2	interval	SELECT strftime('%Y-%m-%d %H:%M:%f', '2021-01-03 10:20:30.123456', '+1.5 seconds')
J.si.us	interval	SELECT strftime('%Y-%m-%d %H:%M:%f', '2021-01-03 10:20:30.123456', '+0.000001 seconds')
J.si.us.duck	interval	SELECT TIMESTAMP '2021-01-03 10:20:30.123456' + to_microseconds(1)
J.si.quarters	interval	SELECT date('2021-01-03', '+3 months', 'floor')
J.si.decades	interval	SELECT date('2021-01-03', '+10 years', 'floor')
J.dtd.duck	trunc	SELECT CAST(TIMESTAMP '2021-01-03 10:20:30.123456' AS DATE)
J.dtd.pg	trunc	SELECT CAST(TIMESTAMP '2021-01-03 10:20:30.123456' AS DATE)
J.dtd.sqlite	trunc	SELECT date('2021-01-03 10:20:30.123456')
J.dtd.col.sqlite	trunc	SELECT date(hired) FROM emp WHERE id=1
J.ex.col.sqlite	trunc	SELECT CAST(strftime('%Y', hired) AS INTEGER) FROM emp WHERE id=1
J.ex.col.null.sqlite	trunc	SELECT CAST(strftime('%Y', hired) AS INTEGER) FROM emp WHERE id=5
J.ex.col.null.duck	trunc	SELECT date_part('year', hired) FROM emp WHERE id=5
J.tb.months.sqlite	bucket	SELECT date('1970-01-01', '+' || CAST((((CAST(strftime('%Y', '2021-01-03 10:20:30.123456') AS INTEGER)-1970)*12 + CAST(strftime('%m', '2021-01-03 10:20:30.123456') AS INTEGER)-1)/3)*3 AS TEXT) || ' months')
J.tb.days.sqlite	bucket	SELECT datetime((unixepoch('2021-01-03 10:20:30.123456')/259200)*259200, 'unixepoch')
J.tb.days.duck	bucket	SELECT time_bucket(to_days(3), TIMESTAMP '2021-01-03 10:20:30.123456', TIMESTAMP '1970-01-01 00:00:00')
J.tb.weeks.sqlite	bucket	SELECT datetime(((unixepoch('2021-01-03 10:20:30.123456')+345600)/604800)*604800-345600, 'unixepoch')
J.tb.weeks.duck	bucket	SELECT time_bucket(to_weeks(1), TIMESTAMP '2021-01-03 10:20:30.123456', TIMESTAMP '1969-12-29 00:00:00')
J.tb.weeks.pg	bucket	SELECT date_bin(INTERVAL '1 week', TIMESTAMP '2021-01-03 10:20:30.123456', TIMESTAMP '1969-12-29 00:00:00')
J.tb.hours.sqlite	bucket	SELECT datetime((unixepoch('2021-01-03 10:20:30.123456')/14400)*14400, 'unixepoch')
J.tb.hours.duck	bucket	SELECT time_bucket(to_hours(4), TIMESTAMP '2021-01-03 10:20:30.123456', TIMESTAMP '1970-01-01 00:00:00')
J.tz.fn.duck	tz	SELECT CAST(timezone('America/New_York', TIMESTAMP '2021-01-03 10:20:30.123456') AS VARCHAR)
J.tz.fn.pg	tz	SELECT CAST(timezone('America/New_York', TIMESTAMP '2021-01-03 10:20:30.123456') AS VARCHAR)
J.tz.fn.tstz.duck	tz	SELECT CAST(timezone('America/New_York', TIMESTAMPTZ '2021-01-03 10:20:30+00') AS VARCHAR)
J.tz.icu.list	tz	SELECT count(*) FROM pg_timezone_names
J.tz.badzone.duck	tz	SELECT timezone('Not/AZone', TIMESTAMP '2021-01-03 10:20:30.123456')
J.tz.badzone.pg	tz	SELECT timezone('Not/AZone', TIMESTAMP '2021-01-03 10:20:30.123456')
J.mk.y10000.duck	make	SELECT CAST(make_timestamp(10000, 1, 1, 0, 0, 0) AS VARCHAR)
J.mk.y10000.pg	make	SELECT CAST(make_timestamp(10000, 1, 1, 0, 0, 0) AS VARCHAR)
J.mk.bc.duck	make	SELECT CAST(make_date(-44, 3, 15) AS VARCHAR)
J.mk.bc.pg	make	SELECT CAST(make_date(-44, 3, 15) AS VARCHAR)
J.mk.zero.duck	make	SELECT CAST(make_date(0, 1, 1) AS VARCHAR)
J.mk.zero.pg	make	SELECT CAST(make_date(0, 1, 1) AS VARCHAR)
J.null.trunc.duck	nulls	SELECT date_trunc('month', hired) FROM emp WHERE id=5
J.null.trunc.sqlite	nulls	SELECT datetime(hired, 'start of month') FROM emp WHERE id=5
J.null.add.sqlite	nulls	SELECT date(hired, '+1 day') FROM emp WHERE id=5
J.null.epoch.sqlite	nulls	SELECT unixepoch(hired) FROM emp WHERE id=5
J.ord.sqlite	nulls	SELECT hired FROM emp ORDER BY hired DESC LIMIT 1
J.ord.asc	nulls	SELECT hired FROM emp ORDER BY hired ASC NULLS LAST LIMIT 1
J.today.all	now	SELECT CAST(current_date AS VARCHAR)
J.today.sqlite.local	now	SELECT date('now', 'localtime')
J.now.sqlite.local	now	SELECT datetime('now', 'localtime')
J.now.utc	now	SELECT CAST(LOCALTIMESTAMP AS VARCHAR)
