database_name	schema_name	function_name	function_type	return_type	parameters	parameter_types	varargs	macro_definition	has_side_effects	internal	description	function_oid
system	main	!__postfix	scalar	HUGEINT	x	INTEGER			false	true	Factorial of x. Computes the product of the current integer and all integers below it	625
system	main	!~~	scalar	BOOLEAN	col0|col1	VARCHAR|VARCHAR			false	true		312
system	main	!~~*	scalar	BOOLEAN	col0|col1	VARCHAR|VARCHAR			false	true		314
system	main	%	scalar	TINYINT	col0|col1	TINYINT|TINYINT			false	true		316
system	main	%	scalar	SMALLINT	col0|col1	SMALLINT|SMALLINT			false	true		316
system	main	%	scalar	INTEGER	col0|col1	INTEGER|INTEGER			false	true		316
system	main	%	scalar	BIGINT	col0|col1	BIGINT|BIGINT			false	true		316
system	main	%	scalar	HUGEINT	col0|col1	HUGEINT|HUGEINT			false	true		316
system	main	%	scalar	FLOAT	col0|col1	FLOAT|FLOAT			false	true		316
system	main	%	scalar	DOUBLE	col0|col1	DOUBLE|DOUBLE			false	true		316
system	main	%	scalar	DECIMAL	col0|col1	DECIMAL|DECIMAL			false	true		316
system	main	%	scalar	UTINYINT	col0|col1	UTINYINT|UTINYINT			false	true		316
system	main	%	scalar	USMALLINT	col0|col1	USMALLINT|USMALLINT			false	true		316
system	main	%	scalar	UINTEGER	col0|col1	UINTEGER|UINTEGER			false	true		316
system	main	%	scalar	UBIGINT	col0|col1	UBIGINT|UBIGINT			false	true		316
system	main	%	scalar	UHUGEINT	col0|col1	UHUGEINT|UHUGEINT			false	true		316
system	main	&	scalar	TINYINT	left|right	TINYINT|TINYINT			false	true	Bitwise AND	627
system	main	&	scalar	SMALLINT	left|right	SMALLINT|SMALLINT			false	true	Bitwise AND	627
system	main	&	scalar	INTEGER	left|right	INTEGER|INTEGER			false	true	Bitwise AND	627
system	main	&	scalar	BIGINT	left|right	BIGINT|BIGINT			false	true	Bitwise AND	627
system	main	&	scalar	HUGEINT	left|right	HUGEINT|HUGEINT			false	true	Bitwise AND	627
system	main	&	scalar	UTINYINT	left|right	UTINYINT|UTINYINT			false	true	Bitwise AND	627
system	main	&	scalar	USMALLINT	left|right	USMALLINT|USMALLINT			false	true	Bitwise AND	627
system	main	&	scalar	UINTEGER	left|right	UINTEGER|UINTEGER			false	true	Bitwise AND	627
system	main	&	scalar	UBIGINT	left|right	UBIGINT|UBIGINT			false	true	Bitwise AND	627
system	main	&	scalar	UHUGEINT	left|right	UHUGEINT|UHUGEINT			false	true	Bitwise AND	627
system	main	&	scalar	BIT	left|right	BIT|BIT			false	true	Bitwise AND	627
system	main	&&	scalar	BOOLEAN	geom1|geom2	GEOMETRY|GEOMETRY			false	true	Returns true if the geometries bounding boxes intersect	629
system	main	&&	scalar	BOOLEAN	geom1|geom2	T[]|T[]			false	true	Returns true if the geometries bounding boxes intersect	629
system	main	*	scalar	TINYINT	col0|col1	TINYINT|TINYINT			false	true		320
system	main	*	scalar	SMALLINT	col0|col1	SMALLINT|SMALLINT			false	true		320
system	main	*	scalar	INTEGER	col0|col1	INTEGER|INTEGER			false	true		320
system	main	*	scalar	BIGINT	col0|col1	BIGINT|BIGINT			false	true		320
system	main	*	scalar	HUGEINT	col0|col1	HUGEINT|HUGEINT			false	true		320
system	main	*	scalar	FLOAT	col0|col1	FLOAT|FLOAT			false	true		320
system	main	*	scalar	DOUBLE	col0|col1	DOUBLE|DOUBLE			false	true		320
system	main	*	scalar	DECIMAL	col0|col1	DECIMAL|DECIMAL			false	true		320
system	main	*	scalar	UTINYINT	col0|col1	UTINYINT|UTINYINT			false	true		320
system	main	*	scalar	USMALLINT	col0|col1	USMALLINT|USMALLINT			false	true		320
system	main	*	scalar	UINTEGER	col0|col1	UINTEGER|UINTEGER			false	true		320
system	main	*	scalar	UBIGINT	col0|col1	UBIGINT|UBIGINT			false	true		320
system	main	*	scalar	UHUGEINT	col0|col1	UHUGEINT|UHUGEINT			false	true		320
system	main	*	scalar	INTERVAL	col0|col1	INTERVAL|DOUBLE			false	true		320
system	main	*	scalar	INTERVAL	col0|col1	DOUBLE|INTERVAL			false	true		320
system	main	*	scalar	INTERVAL	col0|col1	BIGINT|INTERVAL			false	true		320
system	main	*	scalar	INTERVAL	col0|col1	INTERVAL|BIGINT			false	true		320
system	main	**	scalar	DOUBLE	x|y	DOUBLE|DOUBLE			false	true	Computes x to the power of y	630
system	main	+	scalar	TINYINT	col0	TINYINT			false	true		1890
