setup.arrtab	setup	OK	<nors>
setup.arrins	setup	OK	<nors>
setup.jsontab	setup	OK	<nors>
setup.jsonins	setup	OK	<nors>
setup.nest	setup	OK	<nors>
setup.nestins	setup	OK	<nors>
jt.cols	explode	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: SELECT SUM(jt.v) FROM arrtab t, JSON_TABLE(t.arr, '$[*]' COLUMNS (v INT PATH '$')) jt ^
jt.ord	explode	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ...) ORDER BY t.id, jt.o) FROM arrtab t, JSON_TABLE(t.arr, '$[*]' COLUMNS (o FOR ORDINALITY, v INT PATH '$')) jt ^
jt.leftjoin	explode	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ... COUNT(*) FROM arrtab t LEFT JOIN JSON_TABLE(t.arr, '$[*]' COLUMNS (v INT PATH '$')) jt ON TRUE ^
jt.leftjoin2	explode	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ... COUNT(*) FROM arrtab t LEFT JOIN JSON_TABLE(t.arr, '$[*]' COLUMNS (v INT PATH '$')) jt ON 1=1 ^
jt.innerjoin	explode	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ...ELECT COUNT(*) FROM arrtab t JOIN JSON_TABLE(t.arr, '$[*]' COLUMNS (v INT PATH '$')) jt ON 1=1 ^
jt.crossjoin	explode	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ... COUNT(*) FROM arrtab t CROSS JOIN JSON_TABLE(t.arr, '$[*]' COLUMNS (v INT PATH '$')) jt ^
jt.emptyarr	explode	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: SELECT COUNT(*) FROM arrtab t, JSON_TABLE(t.arr, '$[*]' COLUMNS (v INT PATH '$')) jt WHERE t.id=3 ^
jt.jsoncol	explode	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ...ELECT SUM(jt.v) FROM jsontab t, JSON_TABLE(t.doc, '$.b[*]' COLUMNS (v INT PATH '$')) jt ^
jt.nested	explode	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ...(CONCAT(jt.k,':',jt.n)) FROM nesttab t, JSON_TABLE(t.doc, '$' COLUMNS (k VARCHAR(10) PATH '$.k', NESTED PATH '$.items... ^
jt.existspath	explode	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: SELECT jt.hasA FROM jsontab t, JSON_TABLE(t.doc, '$' COLUMNS (hasA INT EXISTS PATH '$.a')) jt WHERE t.id=1 ^
jt.onempty	explode	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: SELECT jt.v FROM jsontab t, JSON_TABLE(t.doc, '$' COLUMNS (v INT PATH '$.zzz' DEFAULT '99' ON EMPTY)) jt WHERE... ^
jt.onerror	explode	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: SELECT jt.v FROM jsontab t, JSON_TABLE(t.doc, '$' COLUMNS (v INT PATH '$.a' NULL ON ERROR)) jt WHERE t.id=1 ^
jt.scalarsub	explode	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ...LECT t.id, (SELECT SUM(jt.v) FROM JSON_TABLE(t.arr, '$[*]' COLUMNS (v INT PATH '$')) jt) FROM arrtab t WHERE t.id=1 ^
jt.inselect	explode	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ... (SELECT JSON_ARRAYAGG(jt.v*2) FROM JSON_TABLE(t.arr,'$[*]' COLUMNS (v INT PATH '$')) jt) FROM arrtab t WHERE t.id=1 ^
jt.twoargs	explode	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: SELECT COUNT(*) FROM arrtab t, JSON_TABLE(t.arr,'$[*]' COLUMNS (v INT PATH '$')) a, JSON_TABLE(t.arr,'$[*]' COLUMNS... ^
jt.varchar	explode	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: SELECT jt.v FROM JSON_TABLE('["a","b"]','$[*]' COLUMNS (v VARCHAR(10) PATH '$')) jt ^
jt.reexpr	explode	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ... COUNT(*) FROM emp e, JSON_TABLE(CONCAT('[',e.id,']'),'$[*]' COLUMNS (v INT PATH '$')) jt ^
jt.fromless	explode	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: SELECT SUM(v) FROM JSON_TABLE('[1,2,3]','$[*]' COLUMNS (v INT PATH '$')) jt ^
l.filter	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ...ELECT JSON_ARRAYAGG(v) FROM JSON_TABLE('[10,20,30]','$[*]' COLUMNS (v INT PATH '$')) jt WHERE v > 15 ^
l.transform	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ... JSON_ARRAYAGG(v*2) FROM JSON_TABLE('[10,20,30]','$[*]' COLUMNS (v INT PATH '$')) jt ^
l.contains	list	OK	Boolean:true
l.containsstr	list	OK	Boolean:true
l.get	list	OK	JsonNode:20
l.getvalue	list	OK	String:20
l.position	list	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name json_search does not exist! Did you mean "json_extract"? LINE 1: SELECT JSON_SEARC...
l.positionnum	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: SELECT MIN(o)-1 FROM JSON_TABLE('[10,20,30]','$[*]' COLUMNS (o FOR ORDINALITY, v INT PATH '$')) jt WHERE v=20 ^
l.exists	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: SELECT EXISTS(SELECT 1 FROM JSON_TABLE('[10,20,30]','$[*]' COLUMNS (v INT PATH '$')) jt WHERE v > 25) ^
l.existsempty	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: SELECT EXISTS(SELECT 1 FROM JSON_TABLE('[]','$[*]' COLUMNS (v INT PATH '$')) jt WHERE v > 25) ^
l.forall	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ... NOT EXISTS(SELECT 1 FROM JSON_TABLE('[10,20,30]','$[*]' COLUMNS (v INT PATH '$')) jt WHERE NOT (v > 5)) ^
l.forallempty	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: SELECT NOT EXISTS(SELECT 1 FROM JSON_TABLE('[]','$[*]' COLUMNS (v INT PATH '$')) jt WHERE NOT (v > 5)) ^
l.concat	list	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name json_merge_preserve does not exist! Did you mean "json_merge_patch"? LINE 1: SELEC...
l.concat2	list	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name json_array_append does not exist! Did you mean "json_array"? LINE 1: SELECT JSON_A...
l.flatten	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ...LECT JSON_ARRAYAGG(v) FROM JSON_TABLE('[[1,2],[3]]','$[*]' COLUMNS (NESTED PATH '$[*]' COLUMNS (v INT PATH '$'))) jt ^
l.length	list	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name json_length does not exist! Did you mean "json_array_length"? LINE 1: SELECT JSON_...
l.sum	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: SELECT SUM(v) FROM JSON_TABLE('[10,20,30]','$[*]' COLUMNS (v INT PATH '$')) jt ^
l.min	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: SELECT MIN(v) FROM JSON_TABLE('[10,20,30]','$[*]' COLUMNS (v INT PATH '$')) jt ^
l.avg	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: SELECT AVG(v) FROM JSON_TABLE('[10,20,30]','$[*]' COLUMNS (v INT PATH '$')) jt ^
l.median	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: SELECT MEDIAN(v) FROM JSON_TABLE('[10,20,31]','$[*]' COLUMNS (v INT PATH '$')) jt ^
l.pctdisc	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ... WITHIN GROUP (ORDER BY v) FROM JSON_TABLE('[10,20,31]','$[*]' COLUMNS (v INT PATH '$')) jt ^
l.mode	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: SELECT v FROM JSON_TABLE('[1,1,2]','$[*]' COLUMNS (v INT PATH '$')) jt GROUP BY v ORDER BY COUNT(... ^
l.product	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: SELECT EXP(SUM(LN(v))) FROM JSON_TABLE('[2,3,4]','$[*]' COLUMNS (v INT PATH '$')) jt ^
l.booland	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: SELECT MIN(v) FROM JSON_TABLE('[1,1,0]','$[*]' COLUMNS (v INT PATH '$')) jt ^
l.distinct	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ... JSON_ARRAYAGG(DISTINCT v) FROM JSON_TABLE('[1,1,2]','$[*]' COLUMNS (v INT PATH '$')) jt ^
l.distinct2	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ...(v) FROM (SELECT DISTINCT v FROM JSON_TABLE('[1,1,2]','$[*]' COLUMNS (v INT PATH '$')) jt) x ^
l.sort	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ... JSON_ARRAYAGG(v ORDER BY v) FROM JSON_TABLE('[3,1,2]','$[*]' COLUMNS (v INT PATH '$')) jt ^
l.sortdesc	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ...RAYAGG(v ORDER BY v DESC) FROM JSON_TABLE('[3,1,2]','$[*]' COLUMNS (v INT PATH '$')) jt ^
l.reverse	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ...RAYAGG(v ORDER BY o DESC) FROM JSON_TABLE('[3,1,2]','$[*]' COLUMNS (o FOR ORDINALITY, v INT PATH '$')) jt ^
l.slice	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ..._ARRAYAGG(v ORDER BY o) FROM JSON_TABLE('[1,2,3,4]','$[*]' COLUMNS (o FOR ORDINALITY, v INT PATH '$')) jt WHERE o BETWEEN... ^
l.tail	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ... JSON_ARRAYAGG(v ORDER BY o) FROM JSON_TABLE('[1,2,3]','$[*]' COLUMNS (o FOR ORDINALITY, v INT PATH '$')) jt WHERE o > 1 ^
l.zip	list	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ...RRAY(a.v,b.v) ORDER BY a.o) FROM JSON_TABLE('[1,2]','$[*]' COLUMNS (o FOR ORDINALITY, v INT PATH '$')) a JOIN JSON_TABLE... ^
l.range	list	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Table with name seq_1_to_5 does not exist! Did you mean "dept"? LINE 1: SELECT JSON_ARRAYAGG(seq) FROM seq_1...
l.reduce	list	OK	Integer:16
l.arraylit	list	OK	JsonNode:[1,2,3]
m.empty	map	OK	JsonNode:{}
m.fromlists	map	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name json_objectagg does not exist! Did you mean "json_object"? LINE 1: SELECT JSON_OBJ...
m.extract	map	OK	String:1
m.extract2	map	OK	JsonNode:1
m.keys	map	OK	Array:[a, b]
m.values	map	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ...$.', jt.k))) FROM JSON_TABLE(JSON_KEYS('{"a":1,"b":2}'),'$[*]' COLUMNS (k VARCHAR(20) PATH '$')) jt ^
m.concat	map	OK	JsonNode:{"a":1,"b":2}
m.explode	map	ERR	Parser Error: syntax error at or near "COLUMNS" LINE 1: ...$.',jt.k)))) FROM JSON_TABLE(JSON_KEYS('{"a":1,"b":2}'),'$[*]' COLUMNS (k VARCHAR(20) PATH '$')) jt ^
m.type	map	OK	String:OBJECT
cast.json	cast	OK	JsonNode:{"a":1}
cast.jsonalt	cast	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name convert does not exist! Did you mean "count"? LINE 1: SELECT CONVERT('{"a":1}', JS...
cast.char	cast	OK	String:{"a":1}
cast.jsontype	cast	OK	String:JSON
cast.jsoncoltype	cast	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Binder Error: Referenced column "COLUMN_TYPE" not found in FROM clause! Candidate bindings: "COLUMN_COMMENT" LINE 1: SELECT...
cast.jsonstore	cast	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Conversion Error: Malformed JSON at byte 0 of input: invalid literal. Input: "not json" LINE 1: INSERT INTO jsontab VALUES ...
cast.jsonstore2	cast	OK	<norows>
arr.op1	json	OK	JsonNode:1
arr.op2	json	OK	String:1
arr.op3	json	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Binder Error: Referenced column "$.a" not found in FROM clause! Candidate bindings: "doc" LINE 1: SELECT doc -> "$.a" FROM ...
arr.op4	json	OK	JsonNode:1
j.inner	join	OK	Long:4
j.left	join	OK	Long:5
j.right	join	OK	Long:5
j.full	join	OK	Long:6
j.full2	join	OK	Long:6
j.fullrewrite	join	OK	Long:6
j.fullrewrite2	join	ERR	Conversion Error: Could not convert string '-' to INT32 LINE 1: SELECT GROUP_CONCAT(CONCAT(COALESCE(ei,'-'),'/',COALESCE(di,'-')) ORDER BY ei,di) FROM (SELECT... ^
j.cross	join	OK	Long:15
j.natural	join	OK	Long:0
j.asof	join	OK	Long:5
j.straight	join	ERR	Parser Error: syntax error at or near "STRAIGHT_JOIN" LINE 1: SELECT COUNT(*) FROM emp e STRAIGHT_JOIN dept d ON e.dept_id=d.id ^
j.using	join	OK	Long:3
j.selfjoin3	join	OK	Long:1
s.union	setop	OK	Long:5
s.unionall	setop	OK	Long:8
s.intersect	setop	OK	Long:3
s.intersectall	setop	OK	Long:3
s.except	setop	OK	Long:2
s.exceptall	setop	OK	Long:2
s.minus	setop	ERR	Parser Error: syntax error at or near "SELECT" LINE 1: SELECT COUNT(*) FROM (SELECT id FROM emp MINUS SELECT id FROM dept) x ^
s.orderby	setop	OK	String:1,2,3,4,5
s.unionlimit	setop	OK	Long:2
s.branchlimit	setop	OK	Long:2
s.prec	setop	OK	Long:4
