TYPE.date.lit	types	OK	LocalDate:2020-01-15
TYPE.date.cast	types	OK	LocalDate:2020-01-15
TYPE.date.castfn	types	OK	LocalDate:2020-01-15
TYPE.date.col	types	OK	LocalDate:2020-01-15
TYPE.date.colnull	types	OK	<null>
TYPE.date.colmax	types	OK	LocalDate:2022-03-20
TYPE.date.colcmp	types	OK	Long:3
TYPE.date.colcmp.txt	types	OK	Long:3
TYPE.date.colorder	types	OK	LocalDate:2019-11-01
TYPE.ts.lit	types	OK	Timestamp:2020-01-15 10:20:30.0
TYPE.ts.frac3	types	OK	Timestamp:2020-01-15 10:20:30.123
TYPE.ts.frac6	types	OK	Timestamp:2020-01-15 10:20:30.123456
TYPE.ts.frac7	types	OK	Timestamp:2020-01-15 10:20:30.123456
TYPE.ts.frac9	types	OK	Timestamp:2020-01-15 10:20:30.123456
TYPE.ts.cast	types	OK	Timestamp:2020-01-15 10:20:30.123456
TYPE.ts.castT	types	OK	Timestamp:2020-01-15 10:20:30.123456
TYPE.ts.fn	types	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name datetime does not exist! Did you mean "datediff"? LINE 1: SELECT datetime('2020-01...
TYPE.tstz.lit	types	OK	OffsetDateTime:2021-01-03T03:20:30-05:00
TYPE.tstz.lit2	types	OK	OffsetDateTime:2021-01-03T03:20:30-05:00
TYPE.tstz.cast	types	OK	OffsetDateTime:2021-01-03T03:20:30-05:00
TYPE.tstz.utc	types	OK	OffsetDateTime:2021-01-03T05:20:30-05:00
TYPE.time.lit	types	OK	LocalTime:10:20:30
TYPE.time.frac	types	OK	LocalTime:10:20:30.123456
TYPE.time.fn	types	ERR	Parser Error: syntax error at or near "'10:20:30'" LINE 1: SELECT time('10:20:30') ^
TYPE.timetz.lit	types	OK	OffsetTime:10:20:30+02:00
TYPE.ivl.ansi	types	OK	String:1 day
TYPE.ivl.pg	types	OK	String:1 day
TYPE.ivl.compound	types	OK	String:1 year 2 months 3 days
TYPE.ivl.arith	types	OK	Timestamp:2021-01-04 00:00:00.0
TYPE.ivl.sub	types	OK	Long:61
TYPE.ivl.subts	types	OK	String:61 days
TYPE.sqlite.typeof.col	types	OK	String:DATE
TYPE.sqlite.typeof.dt	types	OK	String:DATE
TYPE.sqlite.typeof.jd	types	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name julianday does not exist! Did you mean "julian"? LINE 1: SELECT typeof(julianday('...
TYPE.declared	types	OK	String:DATE
RT.ddl	roundtrip	OK	<nors>
RT.ins.typed	roundtrip	OK	<nors>
RT.ins.text	roundtrip	OK	<nors>
RT.sel.d	roundtrip	OK	LocalDate:2021-01-03
RT.sel.ts	roundtrip	OK	Timestamp:2021-01-03 10:20:30.123456
RT.sel.tz	roundtrip	OK	OffsetDateTime:2021-01-03T03:20:30-05:00
RT.sel.s	roundtrip	OK	String:2021-01-03 10:20:30.123456
RT.typeof.d	roundtrip	OK	String:DATE
RT.typeof.ts	roundtrip	OK	String:TIMESTAMP
RT.typeof.tz	roundtrip	OK	String:TIMESTAMP WITH TIME ZONE
RT.eq.text	roundtrip	OK	Long:2
RT.eq.txt2	roundtrip	OK	Long:2
RT.extract.d	roundtrip	OK	Long:2021
EXTRACT.year.datepart	extract	OK	Long:2021
EXTRACT.year.kw	extract	OK	Long:2021
EXTRACT.month.datepart	extract	OK	Long:1
EXTRACT.month.kw	extract	OK	Long:1
EXTRACT.day.datepart	extract	OK	Long:3
EXTRACT.day.kw	extract	OK	Long:3
EXTRACT.hour.datepart	extract	OK	Long:10
EXTRACT.hour.kw	extract	OK	Long:10
EXTRACT.minute.datepart	extract	OK	Long:20
EXTRACT.minute.kw	extract	OK	Long:20
EXTRACT.second.datepart	extract	OK	Long:30
EXTRACT.second.kw	extract	OK	Long:30
EXTRACT.millisecond.datepart	extract	OK	Long:30123
EXTRACT.millisecond.kw	extract	OK	Long:30123
EXTRACT.milliseconds.datepart	extract	OK	Long:30123
EXTRACT.milliseconds.kw	extract	OK	Long:30123
EXTRACT.microsecond.datepart	extract	OK	Long:30123456
EXTRACT.microsecond.kw	extract	OK	Long:30123456
EXTRACT.microseconds.datepart	extract	OK	Long:30123456
EXTRACT.microseconds.kw	extract	OK	Long:30123456
EXTRACT.epoch.datepart	extract	OK	Double:1.609669230123456E9
EXTRACT.epoch.kw	extract	OK	Double:1.609669230123456E9
EXTRACT.dow.datepart	extract	OK	Long:0
EXTRACT.dow.kw	extract	OK	Long:0
EXTRACT.isodow.datepart	extract	OK	Long:7
EXTRACT.isodow.kw	extract	OK	Long:7
EXTRACT.doy.datepart	extract	OK	Long:3
EXTRACT.doy.kw	extract	OK	Long:3
EXTRACT.week.datepart	extract	OK	Long:53
EXTRACT.week.kw	extract	OK	Long:53
EXTRACT.isoyear.datepart	extract	OK	Long:2020
EXTRACT.isoyear.kw	extract	OK	Long:2020
EXTRACT.quarter.datepart	extract	OK	Long:1
EXTRACT.quarter.kw	extract	OK	Long:1
EXTRACT.decade.datepart	extract	OK	Long:202
EXTRACT.decade.kw	extract	OK	Long:202
EXTRACT.century.datepart	extract	OK	Long:21
EXTRACT.century.kw	extract	OK	Long:21
EXTRACT.millennium.datepart	extract	OK	Long:3
EXTRACT.millennium.kw	extract	OK	Long:3
EXTRACT.era.datepart	extract	OK	Long:1
EXTRACT.era.kw	extract	OK	Long:1
EXTRACT.julian.datepart	extract	OK	Double:2459218.430904207
EXTRACT.julian.kw	extract	OK	Double:2459218.430904207
EXTRACT.timezone.datepart	extract	OK	Long:0
EXTRACT.timezone.kw	extract	OK	Long:0
EXTRACT.timezone_hour.datepart	extract	OK	Long:0
EXTRACT.timezone_hour.kw	extract	OK	Long:0
EXTRACT.timezone_minute.datepart	extract	OK	Long:0
EXTRACT.timezone_minute.kw	extract	OK	Long:0
EXTRACT.dayofweek.datepart	extract	OK	Long:0
EXTRACT.dayofweek.kw	extract	OK	Long:0
EXTRACT.dayofmonth.datepart	extract	OK	Long:3
EXTRACT.dayofmonth.kw	extract	OK	Long:3
EXTRACT.dayofyear.datepart	extract	OK	Long:3
EXTRACT.dayofyear.kw	extract	OK	Long:3
EXTRACT.weekday.datepart	extract	OK	Long:0
EXTRACT.weekday.kw	extract	OK	Long:0
EXTRACT.weekofyear.datepart	extract	OK	Long:53
EXTRACT.weekofyear.kw	extract	OK	Long:53
EXTRACT.yearweek.datepart	extract	OK	Long:202053
EXTRACT.yearweek.kw	extract	OK	Long:202053
EXTRACT.week.kwstr	extract	OK	Long:53
EXTRACT.second.whole	extract	OK	Long:30
EXTRACT.epoch.date	extract	OK	Double:1.609632E9
EXTRACT.epoch.kwdate	extract	OK	Double:1.609632E9
EXTRACT.dow.mon	extract	OK	Long:1
EXTRACT.isodow.mon	extract	OK	Long:1
EXTRACT.dow.sat	extract	OK	Long:6
EXTRACT.week.mon	extract	OK	Long:1
EXTRACT.week.jan1	extract	OK	Long:53
EXTRACT.isoyear.jan1	extract	OK	Long:2020
EXTRACT.col.year	extract	OK	Long:2020
EXTRACT.col.kw	extract	OK	Long:2020
EXTRACT.year.sqlite	extract	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Binder Error: Could not choose a best candidate function for the function call "strftime(STRING_LITERAL, STRING_LITERAL)". ...
EXTRACT.month.sqlite	extract	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Binder Error: Could not choose a best candidate function for the function call "strftime(STRING_LITERAL, STRING_LITERAL)". ...
EXTRACT.day.sqlite	extract	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Binder Error: Could not choose a best candidate function for the function call "strftime(STRING_LITERAL, STRING_LITERAL)". ...
EXTRACT.hour.sqlite	extract	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Binder Error: Could not choose a best candidate function for the function call "strftime(STRING_LITERAL, STRING_LITERAL)". ...
EXTRACT.minute.sqlite	extract	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Binder Error: Could not choose a best candidate function for the function call "strftime(STRING_LITERAL, STRING_LITERAL)". ...
EXTRACT.second.sqlite	extract	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Binder Error: Could not choose a best candidate function for the function call "strftime(STRING_LITERAL, STRING_LITERAL)". ...
EXTRACT.secondfrac.sqlite	extract	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Binder Error: Could not choose a best candidate function for the function call "strftime(STRING_LITERAL, STRING_LITERAL)". ...
EXTRACT.millisecond.sqlite	extract	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Binder Error: Could not choose a best candidate function for the function call "strftime(STRING_LITERAL, STRING_LITERAL)". ...
EXTRACT.epoch.sqlite	extract	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Binder Error: Could not choose a best candidate function for the function call "strftime(STRING_LITERAL, STRING_LITERAL)". ...
EXTRACT.epochfrac.sqlite	extract	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Catalog Error: Scalar Function with name julianday does not exist! Did you mean "julian"? LINE 1: SELECT (julianday('2021-0...
EXTRACT.dow.sqlite	extract	ERR	Invalid Input Error: Attempting to execute an unsuccessful or closed pending query result Error: Binder Error: Could not choose a best candidate function for the function call "strftime(STRING_LITERAL, STRING_LITERAL)". ...
