setup.arrtab	setup	OK	<nors>
setup.arrins	setup	OK	<nors>
setup.jsontab	setup	OK	<nors>
setup.jsonins	setup	OK	<nors>
setup.nest	setup	OK	<nors>
setup.nestins	setup	OK	<nors>
jt.cols	explode	OK	BigDecimal:100
jt.ord	explode	OK	String:1=10,2=20,3=30,1=40
jt.leftjoin	explode	OK	Long:5
jt.leftjoin2	explode	OK	Long:5
jt.innerjoin	explode	OK	Long:4
jt.crossjoin	explode	OK	Long:4
jt.emptyarr	explode	OK	Long:0
jt.jsoncol	explode	OK	BigDecimal:6
jt.nested	explode	OK	String:x:1,x:2
jt.existspath	explode	OK	Integer:1
jt.onempty	explode	OK	Integer:99
jt.onerror	explode	OK	Integer:1
jt.scalarsub	explode	OK	Integer:1
jt.inselect	explode	OK	String:[20,40,60]
jt.twoargs	explode	OK	Long:9
jt.varchar	explode	OK	String:a
jt.reexpr	explode	OK	Long:5
jt.fromless	explode	OK	BigDecimal:6
l.filter	list	OK	String:[20,30]
l.transform	list	OK	String:[20,40,60]
l.contains	list	OK	Integer:1
l.containsstr	list	OK	Integer:1
l.get	list	OK	String:20
l.getvalue	list	OK	String:20
l.position	list	OK	String:"$[1]"
l.positionnum	list	OK	Long:1
l.exists	list	OK	Integer:1
l.existsempty	list	OK	Integer:0
l.forall	list	OK	Integer:1
l.forallempty	list	OK	Integer:1
l.concat	list	OK	String:[1, 2, 3]
l.concat2	list	OK	String:[1, 2, 3]
l.flatten	list	OK	String:[1,2,3]
l.length	list	OK	Integer:3
l.sum	list	OK	BigDecimal:60
l.min	list	OK	Integer:10
l.avg	list	OK	BigDecimal:20.0000
l.median	list	ERR	(conn=4) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM JSON_TABLE('[10,20,31]','$[*]' COLUMNS (v INT PATH '$')) jt' at line ...
l.pctdisc	list	ERR	(conn=4) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FROM JSON_TABLE('[10,20,31]','$[*]' COLUMNS (v INT PATH '$')) jt' at line ...
l.mode	list	OK	Integer:1
l.product	list	OK	Double:23.999999999999993
l.booland	list	OK	Integer:0
l.distinct	list	OK	String:[1,2]
l.distinct2	list	OK	String:[1,2]
l.sort	list	OK	String:[1,2,3]
l.sortdesc	list	OK	String:[3,2,1]
l.reverse	list	OK	String:[2,1,3]
l.slice	list	OK	String:[2,3]
l.tail	list	OK	String:[2,3]
l.zip	list	OK	String:[[1, "x"],[2, "y"]]
l.range	list	OK	String:[1,2,3,4,5]
l.reduce	list	OK	Integer:16
l.arraylit	list	OK	String:[1, 2, 3]
m.empty	map	OK	String:{}
m.fromlists	map	OK	String:{"a":1, "b":2}
m.extract	map	OK	String:1
m.extract2	map	OK	String:1
m.keys	map	OK	String:["a", "b"]
m.values	map	OK	String:[1,2]
m.concat	map	OK	String:{"a": 1, "b": 2}
m.explode	map	OK	String:a=1,b=2
m.type	map	OK	String:OBJECT
cast.json	cast	ERR	(conn=4) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'JSON)' at line 1
cast.jsonalt	cast	ERR	(conn=4) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'JSON)' at line 1
cast.char	cast	OK	String:{"a":1}
cast.jsontype	cast	OK	String:longtext
cast.jsoncoltype	cast	OK	String:longtext
cast.jsonstore	cast	ERR	(conn=4) CONSTRAINT `jsontab.doc` failed for `probe`.`jsontab`
cast.jsonstore2	cast	OK	<norows>
arr.op1	json	ERR	(conn=4) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '>'$.a' FROM jsontab WHERE id=1' at line 1
arr.op2	json	ERR	(conn=4) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '>>'$.a' FROM jsontab WHERE id=1' at line 1
arr.op3	json	ERR	(conn=4) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near '> "$.a" FROM jsontab WHERE id=1' at line 1
arr.op4	json	OK	String:1
j.inner	join	OK	Long:4
j.left	join	OK	Long:5
j.right	join	OK	Long:5
j.full	join	ERR	(conn=4) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FULL OUTER JOIN dept d ON e.dept_id=d.id' at line 1
j.full2	join	ERR	(conn=4) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'FULL JOIN dept d ON e.dept_id=d.id' at line 1
j.fullrewrite	join	OK	Long:6
j.fullrewrite2	join	OK	String:-/3,1/1,2/1,3/2,4/2,5/-
j.cross	join	OK	Long:15
j.natural	join	OK	Long:0
j.asof	join	ERR	(conn=4) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'ASOF LEFT JOIN dept d ON e.dept_id >= d.id' at line 1
j.straight	join	OK	Long:4
j.using	join	OK	Long:3
j.selfjoin3	join	OK	Long:1
s.union	setop	OK	Long:5
s.unionall	setop	OK	Long:8
s.intersect	setop	OK	Long:3
s.intersectall	setop	OK	Long:3
s.except	setop	OK	Long:2
s.exceptall	setop	OK	Long:2
s.minus	setop	ERR	(conn=4) You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'SELECT id FROM dept) x' at line 1
s.orderby	setop	OK	String:1,2,3,4,5
s.unionlimit	setop	OK	Long:2
s.branchlimit	setop	OK	Long:2
s.prec	setop	OK	Long:4
