TYPE.date.lit	types	OK	Date:2020-01-15
TYPE.date.cast	types	OK	Date:2020-01-15
TYPE.date.castfn	types	OK	Date:2020-01-15
TYPE.date.col	types	OK	Date:2020-01-15
TYPE.date.colnull	types	OK	<null>
TYPE.date.colmax	types	OK	Date:2022-03-20
TYPE.date.colcmp	types	OK	Long:3
TYPE.date.colcmp.txt	types	OK	Long:3
TYPE.date.colorder	types	OK	Date:2019-11-01
TYPE.ts.lit	types	OK	Timestamp:2020-01-15 10:20:30.0
TYPE.ts.frac3	types	OK	Timestamp:2020-01-15 10:20:30.123
TYPE.ts.frac6	types	OK	Timestamp:2020-01-15 10:20:30.123456
TYPE.ts.frac7	types	OK	Timestamp:2020-01-15 10:20:30.123457
TYPE.ts.frac9	types	OK	Timestamp:2020-01-15 10:20:30.123457
TYPE.ts.cast	types	OK	Timestamp:2020-01-15 10:20:30.123456
TYPE.ts.castT	types	OK	Timestamp:2020-01-15 10:20:30.123456
TYPE.ts.fn	types	ERR	ERROR: function datetime(unknown) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 8
TYPE.tstz.lit	types	OK	Timestamp:2021-01-03 03:20:30.0
TYPE.tstz.lit2	types	OK	Timestamp:2021-01-03 03:20:30.0
TYPE.tstz.cast	types	OK	Timestamp:2021-01-03 03:20:30.0
TYPE.tstz.utc	types	OK	Timestamp:2021-01-03 05:20:30.0
TYPE.time.lit	types	OK	Time:10:20:30
TYPE.time.frac	types	OK	Time:10:20:30
TYPE.time.fn	types	ERR	ERROR: syntax error at or near "'10:20:30'" Position: 13
TYPE.timetz.lit	types	OK	Time:03:20:30
TYPE.ivl.ansi	types	OK	PGInterval:0 years 0 mons 1 days 0 hours 0 mins 0.0 secs
TYPE.ivl.pg	types	OK	PGInterval:0 years 0 mons 1 days 0 hours 0 mins 0.0 secs
TYPE.ivl.compound	types	OK	PGInterval:1 years 2 mons 3 days 0 hours 0 mins 0.0 secs
TYPE.ivl.arith	types	OK	Timestamp:2021-01-04 00:00:00.0
TYPE.ivl.sub	types	OK	Integer:61
TYPE.ivl.subts	types	OK	PGInterval:0 years 0 mons 61 days 0 hours 0 mins 0.0 secs
TYPE.sqlite.typeof.col	types	ERR	ERROR: function typeof(date) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 8
TYPE.sqlite.typeof.dt	types	ERR	ERROR: function typeof(date) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 8
TYPE.sqlite.typeof.jd	types	ERR	ERROR: function julianday(unknown) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 15
TYPE.declared	types	OK	String:date
RT.ddl	roundtrip	OK	<nors>
RT.ins.typed	roundtrip	OK	<nors>
RT.ins.text	roundtrip	OK	<nors>
RT.sel.d	roundtrip	OK	Date:2021-01-03
RT.sel.ts	roundtrip	OK	Timestamp:2021-01-03 10:20:30.123456
RT.sel.tz	roundtrip	OK	Timestamp:2021-01-03 03:20:30.0
RT.sel.s	roundtrip	OK	String:2021-01-03 10:20:30.123456
RT.typeof.d	roundtrip	ERR	ERROR: function typeof(date) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 8
RT.typeof.ts	roundtrip	ERR	ERROR: function typeof(timestamp without time zone) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 8
RT.typeof.tz	roundtrip	ERR	ERROR: function typeof(timestamp with time zone) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 8
RT.eq.text	roundtrip	OK	Long:2
RT.eq.txt2	roundtrip	OK	Long:2
RT.extract.d	roundtrip	OK	Double:2021.0
EXTRACT.year.datepart	extract	OK	Double:2021.0
EXTRACT.year.kw	extract	OK	BigDecimal:2021
EXTRACT.month.datepart	extract	OK	Double:1.0
EXTRACT.month.kw	extract	OK	BigDecimal:1
EXTRACT.day.datepart	extract	OK	Double:3.0
EXTRACT.day.kw	extract	OK	BigDecimal:3
EXTRACT.hour.datepart	extract	OK	Double:10.0
EXTRACT.hour.kw	extract	OK	BigDecimal:10
EXTRACT.minute.datepart	extract	OK	Double:20.0
EXTRACT.minute.kw	extract	OK	BigDecimal:20
EXTRACT.second.datepart	extract	OK	Double:30.123456
EXTRACT.second.kw	extract	OK	BigDecimal:30.123456
EXTRACT.millisecond.datepart	extract	OK	Double:30123.456
EXTRACT.millisecond.kw	extract	OK	BigDecimal:30123.456
EXTRACT.milliseconds.datepart	extract	OK	Double:30123.456
EXTRACT.milliseconds.kw	extract	OK	BigDecimal:30123.456
EXTRACT.microsecond.datepart	extract	OK	Double:3.0123456E7
EXTRACT.microsecond.kw	extract	OK	BigDecimal:30123456
EXTRACT.microseconds.datepart	extract	OK	Double:3.0123456E7
EXTRACT.microseconds.kw	extract	OK	BigDecimal:30123456
EXTRACT.epoch.datepart	extract	OK	Double:1.609669230123456E9
EXTRACT.epoch.kw	extract	OK	BigDecimal:1609669230.123456
EXTRACT.dow.datepart	extract	OK	Double:0.0
EXTRACT.dow.kw	extract	OK	BigDecimal:0
EXTRACT.isodow.datepart	extract	OK	Double:7.0
EXTRACT.isodow.kw	extract	OK	BigDecimal:7
EXTRACT.doy.datepart	extract	OK	Double:3.0
EXTRACT.doy.kw	extract	OK	BigDecimal:3
EXTRACT.week.datepart	extract	OK	Double:53.0
EXTRACT.week.kw	extract	OK	BigDecimal:53
EXTRACT.isoyear.datepart	extract	OK	Double:2020.0
EXTRACT.isoyear.kw	extract	OK	BigDecimal:2020
EXTRACT.quarter.datepart	extract	OK	Double:1.0
EXTRACT.quarter.kw	extract	OK	BigDecimal:1
EXTRACT.decade.datepart	extract	OK	Double:202.0
EXTRACT.decade.kw	extract	OK	BigDecimal:202
EXTRACT.century.datepart	extract	OK	Double:21.0
EXTRACT.century.kw	extract	OK	BigDecimal:21
EXTRACT.millennium.datepart	extract	OK	Double:3.0
EXTRACT.millennium.kw	extract	OK	BigDecimal:3
EXTRACT.era.datepart	extract	ERR	ERROR: unit "era" not recognized for type timestamp without time zone
EXTRACT.era.kw	extract	ERR	ERROR: unit "era" not recognized for type timestamp without time zone
EXTRACT.julian.datepart	extract	OK	Double:2459218.430904207
EXTRACT.julian.kw	extract	OK	BigDecimal:2459218.43090420666666666667
EXTRACT.timezone.datepart	extract	ERR	ERROR: unit "timezone" not supported for type timestamp without time zone
EXTRACT.timezone.kw	extract	ERR	ERROR: unit "timezone" not supported for type timestamp without time zone
EXTRACT.timezone_hour.datepart	extract	ERR	ERROR: unit "timezone_hour" not supported for type timestamp without time zone
EXTRACT.timezone_hour.kw	extract	ERR	ERROR: unit "timezone_hour" not supported for type timestamp without time zone
EXTRACT.timezone_minute.datepart	extract	ERR	ERROR: unit "timezone_minute" not supported for type timestamp without time zone
EXTRACT.timezone_minute.kw	extract	ERR	ERROR: unit "timezone_minute" not supported for type timestamp without time zone
EXTRACT.dayofweek.datepart	extract	ERR	ERROR: unit "dayofweek" not recognized for type timestamp without time zone
EXTRACT.dayofweek.kw	extract	ERR	ERROR: unit "dayofweek" not recognized for type timestamp without time zone
EXTRACT.dayofmonth.datepart	extract	ERR	ERROR: unit "dayofmonth" not recognized for type timestamp without time zone
EXTRACT.dayofmonth.kw	extract	ERR	ERROR: unit "dayofmonth" not recognized for type timestamp without time zone
EXTRACT.dayofyear.datepart	extract	ERR	ERROR: unit "dayofyear" not recognized for type timestamp without time zone
EXTRACT.dayofyear.kw	extract	ERR	ERROR: unit "dayofyear" not recognized for type timestamp without time zone
EXTRACT.weekday.datepart	extract	ERR	ERROR: unit "weekday" not recognized for type timestamp without time zone
EXTRACT.weekday.kw	extract	ERR	ERROR: unit "weekday" not recognized for type timestamp without time zone
EXTRACT.weekofyear.datepart	extract	ERR	ERROR: unit "weekofyear" not recognized for type timestamp without time zone
EXTRACT.weekofyear.kw	extract	ERR	ERROR: unit "weekofyear" not recognized for type timestamp without time zone
EXTRACT.yearweek.datepart	extract	ERR	ERROR: unit "yearweek" not recognized for type timestamp without time zone
EXTRACT.yearweek.kw	extract	ERR	ERROR: unit "yearweek" not recognized for type timestamp without time zone
EXTRACT.week.kwstr	extract	OK	BigDecimal:53
EXTRACT.second.whole	extract	OK	Double:30.0
EXTRACT.epoch.date	extract	OK	Double:1.609632E9
EXTRACT.epoch.kwdate	extract	OK	BigDecimal:1609632000
EXTRACT.dow.mon	extract	OK	Double:1.0
EXTRACT.isodow.mon	extract	OK	Double:1.0
EXTRACT.dow.sat	extract	OK	Double:6.0
EXTRACT.week.mon	extract	OK	Double:1.0
EXTRACT.week.jan1	extract	OK	Double:53.0
EXTRACT.isoyear.jan1	extract	OK	Double:2020.0
EXTRACT.col.year	extract	OK	Double:2020.0
EXTRACT.col.kw	extract	OK	BigDecimal:2020
EXTRACT.year.sqlite	extract	ERR	ERROR: function strftime(unknown, unknown) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 13
EXTRACT.month.sqlite	extract	ERR	ERROR: function strftime(unknown, unknown) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 13
EXTRACT.day.sqlite	extract	ERR	ERROR: function strftime(unknown, unknown) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 13
EXTRACT.hour.sqlite	extract	ERR	ERROR: function strftime(unknown, unknown) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 13
EXTRACT.minute.sqlite	extract	ERR	ERROR: function strftime(unknown, unknown) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 13
EXTRACT.second.sqlite	extract	ERR	ERROR: function strftime(unknown, unknown) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 13
EXTRACT.secondfrac.sqlite	extract	ERR	ERROR: function strftime(unknown, unknown) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 13
EXTRACT.millisecond.sqlite	extract	ERR	ERROR: function strftime(unknown, unknown) does not exist Hint: No function matches the given name and argument types. You might need to add explicit type casts. Position: 13
