TYPE.date.lit	types	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: DATE)
TYPE.date.cast	types	OK	Integer:2020
TYPE.date.castfn	types	OK	String:2020-01-15
TYPE.date.col	types	OK	String:2020-01-15
TYPE.date.colnull	types	OK	<null>
TYPE.date.colmax	types	OK	String:2022-03-20
TYPE.date.colcmp	types	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2020-01-01'": syntax error)
TYPE.date.colcmp.txt	types	OK	Integer:3
TYPE.date.colorder	types	OK	String:2019-11-01
TYPE.ts.lit	types	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: TIMESTAMP)
TYPE.ts.frac3	types	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: TIMESTAMP)
TYPE.ts.frac6	types	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: TIMESTAMP)
TYPE.ts.frac7	types	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: TIMESTAMP)
TYPE.ts.frac9	types	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: TIMESTAMP)
TYPE.ts.cast	types	OK	Integer:2020
TYPE.ts.castT	types	OK	Integer:2020
TYPE.ts.fn	types	OK	String:2020-01-15 10:20:30
TYPE.tstz.lit	types	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: TIMESTAMPTZ)
TYPE.tstz.lit2	types	ERR	[SQLITE_ERROR] SQL error or missing database (near "TIME": syntax error)
TYPE.tstz.cast	types	OK	Integer:2021
TYPE.tstz.utc	types	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: TIMESTAMPTZ)
TYPE.time.lit	types	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: TIME)
TYPE.time.frac	types	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: TIME)
TYPE.time.fn	types	OK	String:10:20:30
TYPE.timetz.lit	types	ERR	[SQLITE_ERROR] SQL error or missing database (near "TIME": syntax error)
TYPE.ivl.ansi	types	ERR	[SQLITE_ERROR] SQL error or missing database (near "DAY": syntax error)
TYPE.ivl.pg	types	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: INTERVAL)
TYPE.ivl.compound	types	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: INTERVAL)
TYPE.ivl.arith	types	ERR	[SQLITE_ERROR] SQL error or missing database (near "+": syntax error)
TYPE.ivl.sub	types	ERR	[SQLITE_ERROR] SQL error or missing database (near "-": syntax error)
TYPE.ivl.subts	types	ERR	[SQLITE_ERROR] SQL error or missing database (near "-": syntax error)
TYPE.sqlite.typeof.col	types	OK	String:text
TYPE.sqlite.typeof.dt	types	OK	String:text
TYPE.sqlite.typeof.jd	types	OK	String:real
TYPE.declared	types	ERR	[SQLITE_ERROR] SQL error or missing database (no such table: information_schema.columns)
RT.ddl	roundtrip	OK	<nors>
RT.ins.typed	roundtrip	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03'": syntax error)
RT.ins.text	roundtrip	OK	<nors>
RT.sel.d	roundtrip	OK	String:2021-01-03
RT.sel.ts	roundtrip	OK	String:2021-01-03 10:20:30.123456
RT.sel.tz	roundtrip	OK	String:2021-01-03 10:20:30+02
RT.sel.s	roundtrip	OK	String:2021-01-03 10:20:30.123456
RT.typeof.d	roundtrip	OK	String:text
RT.typeof.ts	roundtrip	OK	String:text
RT.typeof.tz	roundtrip	OK	String:text
RT.eq.text	roundtrip	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03'": syntax error)
RT.eq.txt2	roundtrip	OK	Integer:1
RT.extract.d	roundtrip	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: date_part)
EXTRACT.year.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.year.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.month.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.month.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.day.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.day.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.hour.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.hour.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.minute.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.minute.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.second.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.second.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.millisecond.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.millisecond.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.milliseconds.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.milliseconds.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.microsecond.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.microsecond.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.microseconds.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.microseconds.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.epoch.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.epoch.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.dow.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.dow.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.isodow.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.isodow.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.doy.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.doy.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.week.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.week.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.isoyear.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.isoyear.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.quarter.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.quarter.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.decade.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.decade.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.century.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.century.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.millennium.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.millennium.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.era.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.era.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.julian.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.julian.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.timezone.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.timezone.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.timezone_hour.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.timezone_hour.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.timezone_minute.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.timezone_minute.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.dayofweek.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.dayofweek.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.dayofmonth.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.dayofmonth.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.dayofyear.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.dayofyear.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.weekday.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.weekday.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.weekofyear.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.weekofyear.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.yearweek.datepart	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
EXTRACT.yearweek.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.week.kwstr	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.second.whole	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30'": syntax error)
EXTRACT.epoch.date	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03'": syntax error)
EXTRACT.epoch.kwdate	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.dow.mon	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-04'": syntax error)
EXTRACT.isodow.mon	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-04'": syntax error)
EXTRACT.dow.sat	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-02'": syntax error)
EXTRACT.week.mon	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-04'": syntax error)
EXTRACT.week.jan1	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-01'": syntax error)
EXTRACT.isoyear.jan1	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-01'": syntax error)
EXTRACT.col.year	extract	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: date_part)
EXTRACT.col.kw	extract	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
EXTRACT.year.sqlite	extract	OK	Integer:2021
EXTRACT.month.sqlite	extract	OK	Integer:1
EXTRACT.day.sqlite	extract	OK	Integer:3
EXTRACT.hour.sqlite	extract	OK	Integer:10
EXTRACT.minute.sqlite	extract	OK	Integer:20
EXTRACT.second.sqlite	extract	OK	Integer:30
EXTRACT.secondfrac.sqlite	extract	OK	Double:30.123
EXTRACT.millisecond.sqlite	extract	OK	Double:30123.0
EXTRACT.epoch.sqlite	extract	OK	Integer:1609669230
EXTRACT.epochfrac.sqlite	extract	OK	Double:1.6096692301229863E9
EXTRACT.dow.sqlite	extract	OK	Integer:0
EXTRACT.isodow.sqlite	extract	OK	Integer:7
EXTRACT.doy.sqlite	extract	OK	Integer:3
EXTRACT.week.sqlite	extract	OK	Integer:53
EXTRACT.weekU.sqlite	extract	OK	Integer:1
EXTRACT.weekW.sqlite	extract	OK	Integer:0
EXTRACT.isoyear.sqlite	extract	OK	Integer:2020
EXTRACT.quarter.sqlite	extract	OK	Integer:1
EXTRACT.decade.sqlite	extract	OK	Integer:202
EXTRACT.century.sqlite	extract	OK	Integer:21
EXTRACT.julian.sqlite	extract	OK	Double:2459217.930904201
EXTRACT.dow.sqlite.mon	extract	OK	Integer:1
EXTRACT.isodow.sqlite.mon	extract	OK	Integer:1
DATE_TRUNC.microseconds.native	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.milliseconds.native	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.second.native	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.minute.native	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.hour.native	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.day.native	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.week.native	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.month.native	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.quarter.native	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.year.native	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.decade.native	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.century.native	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.millennium.native	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.microsecond.native	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.millisecond.native	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.isoyear.native	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.yearweek.native	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.weekday.native	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.week.mon	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-04'": syntax error)
DATE_TRUNC.week.sun	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03'": syntax error)
DATE_TRUNC.date.month	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03'": syntax error)
DATE_TRUNC.ident	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.datetrunc	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC.col	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: date_trunc)
DATE_TRUNC_DAY.cast	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC_DAY.dtrunc	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
DATE_TRUNC_DAY.sqlite.date	trunc	OK	String:2021-01-03
DATE_TRUNC_DAY.sqlite.sod	trunc	OK	String:2021-01-03 00:00:00
DATE_TRUNC.second.sqlite	trunc	OK	String:2021-01-03 10:20:30
DATE_TRUNC.minute.sqlite	trunc	OK	String:2021-01-03 10:20:00
DATE_TRUNC.hour.sqlite	trunc	OK	String:2021-01-03 10:00:00
DATE_TRUNC.day.sqlite	trunc	OK	String:2021-01-03 00:00:00
DATE_TRUNC.month.sqlite	trunc	OK	String:2021-01-01 00:00:00
DATE_TRUNC.year.sqlite	trunc	OK	String:2021-01-01 00:00:00
DATE_TRUNC.week.sqlite	trunc	OK	String:2020-12-28 10:20:30
DATE_TRUNC.week.sqlite.mon	trunc	OK	String:2021-01-04 00:00:00
DATE_TRUNC.week.sqlite.alt	trunc	OK	String:2020-12-28 10:20:30
DATE_TRUNC.quarter.sqlite	trunc	OK	String:2021-01-01 00:00:00
DATE_TRUNC.milli.sqlite	trunc	OK	String:2021-01-03 10:20:30.123
MAKE_DATE.native	make	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: make_date)
MAKE_DATE.struct	make	ERR	[SQLITE_ERROR] SQL error or missing database (unrecognized token: "{")
MAKE_DATE.sqlite.printf	make	OK	String:2021-01-03
MAKE_DATE.sqlite.format	make	OK	String:2021-01-03
MAKE_DATE.sqlite.concat	make	OK	String:2021-01-03
MAKE_DATE.overflow	make	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: make_date)
MAKE_TIMESTAMP.6	make	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: make_timestamp)
MAKE_TIMESTAMP.6plain	make	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: make_timestamp)
MAKE_TIMESTAMP.6int	make	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: make_timestamp)
MAKE_TIMESTAMP.micros	make	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: make_timestamp)
MAKE_TIMESTAMP.tz	make	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: make_timestamptz)
MAKE_TIMESTAMP.sqlite.printf	make	OK	String:2021-01-03 10:20:30
MAKE_TIMESTAMP.sqlite.frac	make	OK	String:2021-01-03 10:20:30.500
MAKE_INTERVAL.pg	make	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: make_interval)
MAKE_INTERVAL.named	make	ERR	[SQLITE_ERROR] SQL error or missing database (near ">": syntax error)
ADD_INTERVAL.to_years.duck	interval	ERR	[SQLITE_ERROR] SQL error or missing database (near "+": syntax error)
