J.wk.neg.duck	diff	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-11'": syntax error)
J.wk.neg.div7	diff	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-04'": syntax error)
J.wk.neg1.duck	diff	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-11'": syntax error)
J.wk.neg1.div7	diff	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-05'": syntax error)
J.m.neg.duck	diff	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2020-02-01'": syntax error)
J.m.neg.pgb	diff	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
J.h.neg.duck	diff	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2020-01-01 11:01:00'": syntax error)
J.h.neg.pgb	diff	ERR	[SQLITE_ERROR] SQL error or missing database (near "FROM": syntax error)
J.si.weeks	interval	OK	String:2021-01-10 10:20:30
J.si.ms	interval	OK	String:2021-01-03 10:20:31.623
J.si.ms2	interval	OK	String:2021-01-03 10:20:31.623
J.si.us	interval	OK	String:2021-01-03 10:20:30.123
J.si.us.duck	interval	ERR	[SQLITE_ERROR] SQL error or missing database (near "+": syntax error)
J.si.quarters	interval	OK	String:2021-04-03
J.si.decades	interval	OK	String:2031-01-03
J.dtd.duck	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
J.dtd.pg	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
J.dtd.sqlite	trunc	OK	String:2021-01-03
J.dtd.col.sqlite	trunc	OK	String:2020-01-15
J.ex.col.sqlite	trunc	OK	Integer:2020
J.ex.col.null.sqlite	trunc	OK	<null>
J.ex.col.null.duck	trunc	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: date_part)
J.tb.months.sqlite	bucket	OK	String:2021-01-01
J.tb.days.sqlite	bucket	OK	String:2021-01-03 00:00:00
J.tb.days.duck	bucket	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
J.tb.weeks.sqlite	bucket	OK	String:2021-01-03 00:00:00
J.tb.weeks.duck	bucket	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
J.tb.weeks.pg	bucket	ERR	[SQLITE_ERROR] SQL error or missing database (near "'1 week'": syntax error)
J.tb.hours.sqlite	bucket	OK	String:2021-01-03 08:00:00
J.tb.hours.duck	bucket	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
J.tz.fn.duck	tz	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
J.tz.fn.pg	tz	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
J.tz.fn.tstz.duck	tz	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30+00'": syntax error)
J.tz.icu.list	tz	ERR	[SQLITE_ERROR] SQL error or missing database (no such table: pg_timezone_names)
J.tz.badzone.duck	tz	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
J.tz.badzone.pg	tz	ERR	[SQLITE_ERROR] SQL error or missing database (near "'2021-01-03 10:20:30.123456'": syntax error)
J.mk.y10000.duck	make	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: make_timestamp)
J.mk.y10000.pg	make	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: make_timestamp)
J.mk.bc.duck	make	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: make_date)
J.mk.bc.pg	make	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: make_date)
J.mk.zero.duck	make	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: make_date)
J.mk.zero.pg	make	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: make_date)
J.null.trunc.duck	nulls	ERR	[SQLITE_ERROR] SQL error or missing database (no such function: date_trunc)
J.null.trunc.sqlite	nulls	OK	<null>
J.null.add.sqlite	nulls	OK	<null>
J.null.epoch.sqlite	nulls	OK	<null>
J.ord.sqlite	nulls	OK	String:2022-03-20
J.ord.asc	nulls	OK	String:2019-11-01
J.today.all	now	OK	String:2026-08-01
J.today.sqlite.local	now	OK	String:2026-07-31
J.now.sqlite.local	now	OK	String:2026-07-31 21:32:01
J.now.utc	now	ERR	[SQLITE_ERROR] SQL error or missing database (no such column: LOCALTIMESTAMP)
